,Target.Location.lat,Target.Location.lon,Target.Identification.cdifid,Target.Identification.number,Target.Identification.description,Target.Detection.detecttime,Target.Detection.classification
53796,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:20:29,Human Voice
53797,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:19:51,Human Voice
53798,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:18:53,Human Voice
53800,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:18:12,Human Voice
53801,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:17:38,Human Voice
53802,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:17:11,Human Voice
53803,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:16:44,Human Voice
53804,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:15:26,Human Voice
53807,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:14:51,Human Voice
53808,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:14:08,Human Voice
53809,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:13:33,Human Voice
53810,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:12:56,Human Voice
53811,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:02:04,Human Voice
53814,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:05:39,Human Voice
53815,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:06:10,Human Voice
53817,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:12:10,Human Voice
53818,-1.20512,41.27044,25.0.0.249,Iridium Ranger 10249,Iridium Ranger 10249,2023/01/01 05:08:33,Human Voice
53819,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:14:17,Human Voice
53820,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:16:58,Human Voice
53821,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:19:32,Human Voice
53822,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:20:50,Human Voice
53825,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:34:17,Human Voice
53826,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:48:16,Human Voice
53827,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:54:04,Human Voice
53828,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:56:34,Human Voice
53830,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 05:57:31,Human Voice
53832,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 06:04:50,Human Voice
53837,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 06:05:52,Human Voice
53839,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 06:48:01,Human Voice
53840,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 06:48:51,Human Voice
53866,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 10:24:55,Magnetic RL
53868,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 10:44:56,Seismic People
